Id,SalePrice
2658,168032.1800116684
2718,184893.3179873677
2414,196779.6443493124
1989,113194.2635572438
625,193309.32940391725
333,72457.60310530373
1327,102738.87449667943
858,140619.03776532857
95,177774.5064924488
1568,169424.07965528793
2482,137890.84490948627
1364,129562.9746682058
2584,156194.6462720288
818,290439.39918492
2673,169016.81610335066
2089,103463.60517125021
1297,156369.81421754576
790,124832.61989697235
2616,203183.5687568167
720,163239.76107622634
222,152472.5119422584
557,142138.37926098326
1148,187610.4070272259
2766,175220.68177124235
534,188587.19999708317
1452,104749.18190375937
630,117356.27352568385
2648,109363.45858004002
125,158800.78163298022
1904,64804.88820264094
1670,97070.37061915688
756,117318.07360484354
717,246147.32039383677
1032,131868.29412956937
852,225010.24502198663
1731,185862.36266008555
2639,116240.15661111075
2071,99102.72984842796
1267,110749.48657116009
1851,236228.00338722378
567,149840.39246360902
2439,210553.15424746228
1898,155401.56220083492
647,133582.80050971254
2256,216455.17445904552
979,81037.70858082054
1444,219589.53337248485
2485,131494.21491683027
157,129769.32614207722
88,136044.02011574683
2003,99967.95289502195
186,206695.07181804502
1425,267344.66519427265
2695,121143.71447137478
738,103435.4374639628
395,151950.58940307322
1353,189412.11494558828
1878,149805.07801350017
390,163440.1913296632
1456,232333.60936537955
1103,331080.0896853563
1387,136970.681741871
2070,153007.7779579277
1199,155670.90198467707
2479,180236.46442325917
501,329800.0830901755
2362,77223.84000224523
1718,227886.85279477068
2188,57419.400930427044
1483,120627.2209887977
2557,93166.15117191919
437,339383.9848089729
2224,246250.9546214983
1628,164871.74581227908
397,137054.27608066582
587,191524.60795027498
971,127898.60882526258
2611,135922.3039161957
1887,103168.13012612899
2399,351545.17032301286
2148,212925.40066259995
304,108247.97379729833
1997,117833.46618774583
2817,122769.6268547489
1431,234566.68906044587
427,343141.29522030125
263,117318.45508334159
598,180299.88859113943
2895,294990.5499679324
687,148680.99824833922
1822,125240.4411987304
2191,95445.15832354508
179,134458.2997197805
1009,245617.3982601685
2010,126069.23033450771
1991,134058.26971325703
1411,185963.86420646388
1721,264704.7544805625
